Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos activos
Biobio,8.0,Alto Biobio,8314.0,6775.0,2020-04-13,0.0
Biobio,8.0,Antuco,8302.0,4306.0,2020-04-13,0.0
Biobio,8.0,Arauco,8202.0,38679.0,2020-04-13,2.0
Biobio,8.0,Cabrero,8303.0,30725.0,2020-04-13,7.0
Biobio,8.0,Canete,8203.0,37003.0,2020-04-13,0.0
Biobio,8.0,Chiguayante,8103.0,91180.0,2020-04-13,27.0
Biobio,8.0,Concepcion,8101.0,238092.0,2020-04-13,22.0
Biobio,8.0,Contulmo,8204.0,6330.0,2020-04-13,0.0
Biobio,8.0,Coronel,8102.0,125829.0,2020-04-13,9.0
Biobio,8.0,Curanilahue,8205.0,33892.0,2020-04-13,0.0
Biobio,8.0,Florida,8104.0,11841.0,2020-04-13,0.0
Biobio,8.0,Hualpen,8112.0,97273.0,2020-04-13,67.0
Biobio,8.0,Hualqui,8105.0,26201.0,2020-04-13,4.0
Biobio,8.0,Laja,8304.0,23873.0,2020-04-13,0.0
Biobio,8.0,Lebu,8201.0,27100.0,2020-04-13,0.0
Biobio,8.0,Los Alamos,8206.0,22524.0,2020-04-13,0.0
Biobio,8.0,Los Angeles,8301.0,218515.0,2020-04-13,4.0
Biobio,8.0,Lota,8106.0,45750.0,2020-04-13,0.0
Biobio,8.0,Mulchen,8305.0,31041.0,2020-04-13,0.0
Biobio,8.0,Nacimiento,8306.0,27944.0,2020-04-13,4.0
Biobio,8.0,Negrete,8307.0,10429.0,2020-04-13,2.0
Biobio,8.0,Penco,8107.0,49865.0,2020-04-13,5.0
Biobio,8.0,Quilaco,8308.0,4179.0,2020-04-13,0.0
Biobio,8.0,Quilleco,8309.0,10032.0,2020-04-13,0.0
Biobio,8.0,San Pedro de la Paz,8108.0,145906.0,2020-04-13,29.0
Biobio,8.0,San Rosendo,8310.0,3611.0,2020-04-13,0.0
Biobio,8.0,Santa Barbara,8311.0,14592.0,2020-04-13,0.0
Biobio,8.0,Santa Juana,8109.0,14779.0,2020-04-13,0.0
Biobio,8.0,Talcahuano,8110.0,158345.0,2020-04-13,17.0
Biobio,8.0,Tirua,8207.0,11019.0,2020-04-13,1.0
Biobio,8.0,Tome,8111.0,58729.0,2020-04-13,27.0
Biobio,8.0,Tucapel,8312.0,15205.0,2020-04-13,1.0
Biobio,8.0,Yumbel,8313.0,22132.0,2020-04-13,0.0
Biobio,8.0,Desconocido Biobio,,,2020-04-13,
Biobio,8.0,Total,,1663696.0,2020-04-13,228.0
La Araucania,9.0,Angol,9201.0,56058.0,2020-04-13,12.0
La Araucania,9.0,Carahue,9102.0,25486.0,2020-04-13,14.0
La Araucania,9.0,Cholchol,9121.0,12341.0,2020-04-13,0.0
La Araucania,9.0,Collipulli,9202.0,26148.0,2020-04-13,1.0
La Araucania,9.0,Cunco,9103.0,18055.0,2020-04-13,1.0
La Araucania,9.0,Curacautin,9203.0,18178.0,2020-04-13,3.0
La Araucania,9.0,Curarrehue,9104.0,7802.0,2020-04-13,0.0
La Araucania,9.0,Ercilla,9204.0,8458.0,2020-04-13,3.0
La Araucania,9.0,Freire,9105.0,25446.0,2020-04-13,0.0
La Araucania,9.0,Galvarino,9106.0,12633.0,2020-04-13,1.0
La Araucania,9.0,Gorbea,9107.0,15148.0,2020-04-13,1.0
La Araucania,9.0,Lautaro,9108.0,40746.0,2020-04-13,13.0
La Araucania,9.0,Loncoche,9109.0,24739.0,2020-04-13,4.0
La Araucania,9.0,Lonquimay,9205.0,11049.0,2020-04-13,0.0
La Araucania,9.0,Los Sauces,9206.0,7517.0,2020-04-13,0.0
La Araucania,9.0,Lumaco,9207.0,10050.0,2020-04-13,0.0
La Araucania,9.0,Melipeuco,9110.0,6265.0,2020-04-13,0.0
La Araucania,9.0,Nueva Imperial,9111.0,33777.0,2020-04-13,8.0
La Araucania,9.0,Padre Las Casas,9112.0,82110.0,2020-04-13,19.0
La Araucania,9.0,Perquenco,9113.0,7223.0,2020-04-13,1.0
La Araucania,9.0,Pitrufquen,9114.0,26096.0,2020-04-13,4.0
La Araucania,9.0,Pucon,9115.0,29782.0,2020-04-13,1.0
La Araucania,9.0,Puren,9208.0,12188.0,2020-04-13,0.0
La Araucania,9.0,Renaico,9209.0,10833.0,2020-04-13,1.0
La Araucania,9.0,Saavedra,9116.0,12793.0,2020-04-13,0.0
La Araucania,9.0,Temuco,9101.0,302931.0,2020-04-13,150.0
La Araucania,9.0,Teodoro Schmidt,9117.0,15786.0,2020-04-13,1.0
La Araucania,9.0,Tolten,9118.0,10055.0,2020-04-13,3.0
La Araucania,9.0,Traiguen,9210.0,19314.0,2020-04-13,2.0
La Araucania,9.0,Victoria,9211.0,35467.0,2020-04-13,6.0
La Araucania,9.0,Vilcun,9119.0,30766.0,2020-04-13,10.0
La Araucania,9.0,Villarrica,9120.0,59103.0,2020-04-13,5.0
La Araucania,9.0,Desconocido Araucania,,,2020-04-13,
La Araucania,9.0,Total,,1014343.0,2020-04-13,264.0
Los Rios,14.0,Corral,14102.0,5447.0,2020-04-13,0.0
Los Rios,14.0,Futrono,14202.0,15261.0,2020-04-13,1.0
Los Rios,14.0,La Union,14201.0,39538.0,2020-04-13,9.0
Los Rios,14.0,Lago Ranco,14203.0,10292.0,2020-04-13,0.0
Los Rios,14.0,Lanco,14103.0,17652.0,2020-04-13,1.0
Los Rios,14.0,Los Lagos,14104.0,20518.0,2020-04-13,0.0
Los Rios,14.0,Mafil,14105.0,7389.0,2020-04-13,0.0
Los Rios,14.0,Mariquina,14106.0,23250.0,2020-04-13,6.0
Los Rios,14.0,Paillaco,14107.0,20798.0,2020-04-13,0.0
Los Rios,14.0,Panguipulli,14108.0,35991.0,2020-04-13,1.0
Los Rios,14.0,Rio Bueno,14204.0,32925.0,2020-04-13,4.0
Los Rios,14.0,Valdivia,14101.0,176774.0,2020-04-13,25.0
Los Rios,14.0,Desconocido Los Rios,,,2020-04-13,
Los Rios,14.0,Total,,405835.0,2020-04-13,47.0
Los Lagos,10.0,Ancud,10202.0,42458.0,2020-04-13,3.0
Los Lagos,10.0,Calbuco,10102.0,36744.0,2020-04-13,2.0
Los Lagos,10.0,Castro,10201.0,47607.0,2020-04-13,5.0
Los Lagos,10.0,Chaiten,10401.0,5020.0,2020-04-13,0.0
Los Lagos,10.0,Chonchi,10203.0,16013.0,2020-04-13,0.0
Los Lagos,10.0,Cochamo,10103.0,4006.0,2020-04-13,0.0
Los Lagos,10.0,Curaco de Velez,10204.0,4066.0,2020-04-13,0.0
Los Lagos,10.0,Dalcahue,10205.0,15069.0,2020-04-13,0.0
Los Lagos,10.0,Fresia,10104.0,12656.0,2020-04-13,0.0
Los Lagos,10.0,Frutillar,10105.0,20223.0,2020-04-13,4.0
Los Lagos,10.0,Futaleufu,10402.0,2806.0,2020-04-13,0.0
Los Lagos,10.0,Hualaihue,10403.0,9525.0,2020-04-13,0.0
Los Lagos,10.0,Llanquihue,10107.0,18621.0,2020-04-13,1.0
Los Lagos,10.0,Los Muermos,10106.0,17817.0,2020-04-13,0.0
Los Lagos,10.0,Maullin,10108.0,14894.0,2020-04-13,1.0
Los Lagos,10.0,Osorno,10301.0,173410.0,2020-04-13,63.0
Los Lagos,10.0,Palena,10404.0,1827.0,2020-04-13,0.0
Los Lagos,10.0,Puerto Montt,10101.0,269398.0,2020-04-13,11.0
Los Lagos,10.0,Puerto Octay,10302.0,9192.0,2020-04-13,0.0
Los Lagos,10.0,Puerto Varas,10109.0,48620.0,2020-04-13,4.0
Los Lagos,10.0,Puqueldon,10206.0,4201.0,2020-04-13,0.0
Los Lagos,10.0,Purranque,10303.0,21080.0,2020-04-13,13.0
